SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116770";"So";"16.05.2021";"12:30";"FC Länggasse";"4.";"10311";"Ostbärn FC b";"4.";"10368";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116773";"Sa";"22.05.2021";"18:00";"FC Hasle-Rüegsau";"4.";"10402";"FC Länggasse";"4.";"10311";"Sonnematte, Rüegsauschachen - Hauptplatz";"Sonnematte";"Rüegsauschachen";"Hauptplatz";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113530";"Sa";"22.05.2021";"18:15";"Oberemmental 05";"3.LF";"10401";"FC Länggasse";"3.LF";"10311";"Moos Langnau iE, Langnau - Hauptplatz";"Moos Langnau iE";"Langnau";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111777";"Mo";"24.05.2021";"";"FC Länggasse";"2.";"10311";"FC Bosporus";"2.";"10347";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117601";"Mo";"24.05.2021";"";"FC Länggasse";"3.";"10311";"FC Grünstern a";"3.";"10211";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111788";"Sa";"29.05.2021";"";"FC Muri-Gümligen";"2.";"10316";"FC Länggasse";"2.";"10311";"Sportzentrum Füllerich, Gümligen - Füllerich 1";"Sportzentrum Füllerich";"Gümligen";"Füllerich 1";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113533";"So";"30.05.2021";"12:30";"FC Länggasse";"3.LF";"10311";"FC Spiez";"3.LF";"10505";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116783";"So";"30.05.2021";"12:30";"FC Länggasse";"4.";"10311";"FC Münsingen";"4.";"10315";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117612";"So";"30.05.2021";"14:00";"FC Aurore Bienne b";"3.";"10202";"FC Länggasse";"3.";"10311";"Tilleul-Linde,   - Hauptplatz";"Tilleul-Linde";" ";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111790";"Sa";"05.06.2021";"16:00";"FC Länggasse";"2.";"10311";"SC Bümpliz 78";"2.";"10303";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117614";"Sa";"05.06.2021";"18:00";"FC Länggasse";"3.";"10311";"FC Täuffelen";"3.";"10229";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116784";"So";"06.06.2021";"12:30";"FC Länggasse";"4.";"10311";"FC Schönbühl";"4.";"10320";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116795";"Sa";"12.06.2021";"18:00";"SCI Esperia 1927";"4.";"10362";"FC Länggasse";"4.";"10311";"Murifeld, Bern - Fussballfeld Murifeld";"Murifeld";"Bern";"Fussballfeld Murifeld";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111799";"So";"13.06.2021";"10:15";"FC Ostermundigen";"2.";"10317";"FC Länggasse";"2.";"10311";"Oberfeld, Ostermundigen - Hauptplatz";"Oberfeld";"Ostermundigen";"Hauptplatz";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117623";"So";"13.06.2021";"14:00";"FC Schüpfen";"3.";"10321";"FC Länggasse";"3.";"10311";"Rohrmatt, Schüpfen - Hauptplatz";"Rohrmatt";"Schüpfen";"Hauptplatz";
